Dias,Fecha,Total casos,Total altas,Total fallecidos,PCR 24,Nuevos casos,Nuevos fallecidos,Tasa de letalidad,Hospitalizados,UCI,Nuevos hospitalizados,Nuevas UCI,IA 14,IA 7,Total Casos A Coruna,Total Altas A Coruna,Total Fallecidos A Coruna,Total Hospitalizados A Coruna,Total UCI A Coruna,Total PCR A Coruna,IA 14 Coruna,IA 7 Coruna,Total Casos Ferrol,Total Altas Ferrol,Total Fallecidos Ferrol,Total Hospitalizados Ferrol,Total UCI Ferrol,Total PCR Ferrol,IA 14 Ferrol,IA 7 Ferrol,Total Casos Lugo,Total Altas Lugo,Total Fallecidos Lugo,Total Hospitalizados Lugo,Total UCI Lugo,Total PCR Lugo,IA 14 Lugo,IA 7 Lugo,Total Casos Ourense,Total Altas Ourense,Total Fallecidos Ourense,Total Hospitalizados Ourense,Total UCI Ourense,Total PCR Ourense,IA 14 Ourense,IA 7 Ourense,Total Casos Pontevedra,Total Altas Pontevedra,Total Fallecidos Pontevedra,Total Hospitalizados Pontevedra,Total UCI Pontevedra,Total PCR Pontevedra,IA 14 Pontevedra,IA 7 Pontevedra,Total Casos Santiago,Total Altas Santiago,Total Fallecidos Santiago,Total Hospitalizados Santiago,Total UCI Santiago,Total PCR Santiago,IA 14 Santiago,IA 7 Santiago,Total Casos Vigo,Total Altas Vigo,Total Fallecidos Vigo,Total Hospitalizados Vigo,Total UCI Vigo,Total PCR Vigo,IA 14 Vigo,IA 7 Vigo,Poblacion Galicia,Poblacion A Coruna,Poblacion Ferrol,Poblacion Lugo,Poblacion Ourense,Poblacion Pontevedra,Poblacion Santiago,Poblacion Vigo
280,09/12/2020,55077,47872,1281,329,342,8,2.32583474,321,50,-3,-1,158.1527112,69.21263045,12391,10909,293,100,16,208362,145.0326323,56.56272661,3533,2855,80,32,4,65972,200.830248,99.29316728,6532,5788,137,30,3,108268,143.1859502,56.83477409,7752,7077,297,36,3,120257,92.19432332,46.58930218,5830,4895,65,50,9,97341,201.1735694,77.87363977,8269,7313,172,58,6,154486,152.641686,77.21610213,10770,9035,237,69,10,197487,195.9878264,85.86639189,2701819,551600,178260,318467,304791,292782,446798,564831
281,10/12/2020,55363,48285,1287,255,286,6,2.324657262,309,51,-12,1,152.4158354,67.73214638,12434,10999,293,90,14,209050,134.5177665,53.84336476,3557,2878,81,30,3,66283,177.2691574,103.2200157,6552,5823,137,31,4,109134,139.1038946,53.38072705,7783,7118,300,37,3,121180,97.11572848,48.88595792,5869,4948,67,51,9,97911,196.3918547,81.97225239,8346,7358,172,59,6,156448,157.1179817,79.45425002,10822,9161,237,73,11,200137,184.8340477,77.01418654,2701819,551600,178260,318467,304791,292782,446798,564831
282,11/12/2020,55721,48748,1293,324,358,6,2.320489582,298,54,-11,3,152.2307749,67.28800116,12477,11095,293,91,13,210400,127.8100073,47.67947788,3580,2924,81,31,3,66878,184.5618759,97.0492539,6577,5866,139,27,4,110098,124.6596979,48.04265434,7820,7136,300,28,2,122070,102.693321,55.44783146,5906,5001,68,52,10,98762,189.9023847,81.28915029,8412,7416,173,59,7,157288,160.9228331,80.57332396,10949,9310,239,72,12,202118,193.6862531,81.79437743,2701819,551600,178260,318467,304791,292782,446798,564831
283,12/12/2020,56061,49232,1303,301,340,10,2.324253938,297,52,-1,-2,152.1197386,68.91653364,12528,11219,296,87,13,211869,124.1841914,49.67367658,3611,2981,81,33,4,67485,192.4155728,101.5370807,6596,5911,139,29,4,111111,120.5776423,44.27460302,7851,7145,301,32,2,122626,108.5990072,58.40067456,5970,5052,69,48,9,99820,191.951691,90.51102868,8503,7479,174,61,11,158434,171.4421282,89.30210073,11002,9445,243,62,11,203922,183.9488272,75.06670137,2701819,551600,178260,318467,304791,292782,446798,564831
284,13/12/2020,56457,49634,1306,373,396,3,2.313264963,310,55,13,3,157.4864934,73.43201006,12570,11285,296,87,13,213048,120.3770848,47.67947788,3637,3020,82,32,4,68004,191.2936161,95.92729721,6619,5981,139,26,4,112035,119.9496337,42.39057736,7899,7172,301,34,2,123121,119.4260985,66.60301649,6038,5119,70,46,8,100802,195.3672015,102.4653155,8599,7522,174,66,10,159813,187.1091634,100.2690254,11095,9535,244,58,11,206339,194.0403413,82.14846565,2701819,551600,178260,318467,304791,292782,446798,564831
285,14/12/2020,56828,49960,1312,323,371,6,2.308721053,319,56,9,1,161.2247156,77.46632917,12635,11386,298,88,13,213772,124.546773,52.75562001,3686,3037,84,34,4,69010,212.0498149,114.4395826,6639,6013,139,27,6,113015,113.3555439,43.01858591,7940,7184,302,37,1,123699,128.9408152,72.83679636,6090,5174,70,50,8,101325,195.7087526,105.1977239,8687,7563,174,73,11,161945,198.7475324,105.4167655,11151,9603,245,56,12,208436,190.4994591,81.44028922,2701819,551600,178260,318467,304791,292782,446798,564831
286,15/12/2020,57102,50190,1319,227,274,7,2.30990158,301,53,-18,-3,157.708566,74.94950624,12656,11431,300,86,14,214113,116.0261059,48.04205946,3704,3056,84,35,5,69859,206.4400314,95.92729721,6652,6041,140,26,6,113810,104.8774284,37.68051321,7952,7211,303,39,1,124836,126.6441594,65.61873546,6172,5237,71,52,8,102136,209.0292436,116.8104597,8765,7587,175,75,8,163782,203.2238282,111.0121352,11201,9627,246,62,14,210698,179.3456804,76.30601012,2701819,551600,178260,318467,304791,292782,446798,564831
287,16/12/2020,57526,50555,1323,380,424,4,2.299829642,302,50,1,-3,159.8552679,80.05717629,12701,11497,301,76,13,215114,112.7628716,48.40464104,3738,3082,84,34,4,70459,214.2937283,101.5370807,6685,6082,140,24,6,114614,104.8774284,41.76256881,7980,7227,303,37,2,125798,121.3946606,64.63445443,6217,5279,72,52,8,102889,210.0538968,118.859766,8883,7656,175,71,7,166335,214.6383824,120.1885416,11322,9732,248,60,13,213051,183.594739,88.5220535,2701819,551600,178260,318467,304791,292782,446798,564831
288,17/12/2020,57933,50993,1327,357,407,4,2.290577046,309,55,7,5,162.8532481,81.87076929,12762,11564,303,81,12,215987,113.306744,51.66787527,3754,3113,84,32,4,70950,213.7327499,97.61023225,6708,6133,141,23,5,115604,102.3653942,41.13456025,8021,7259,303,37,1,126461,126.9722531,65.94682914,6278,5344,72,53,9,103782,221.6666325,127.0569912,8993,7719,175,68,6,168336,224.2624184,130.0363923,11417,9861,249,58,13,215719,182.3554302,82.85664208,2701819,551600,178260,318467,304791,292782,446798,564831
289,18/12/2020,58341,51373,1332,367,408,5,2.283128503,281,56,-28,1,164.259708,84.38759221,12806,11644,305,78,14,216767,107.3241479,50.39883974,3783,3141,84,35,5,71398,210.9278582,96.48827555,6721,6177,141,23,6,116220,93.25927019,39.25053459,8072,7287,304,38,2,127095,138.1274381,72.50870268,6350,5384,72,55,9,104598,232.9378172,129.7893996,9097,7779,176,69,6,169789,233.8864543,132.9459845,11512,9961,250,66,13,217358,181.4702097,90.29249457,2701819,551600,178260,318467,304791,292782,446798,564831
290,19/12/2020,58730,51746,1336,339,389,4,2.274816959,293,53,12,-3,167.7018335,84.1285075,12883,11712,305,72,14,218024,114.0319072,56.7440174,3793,3173,84,37,6,71661,203.6351397,87.51262201,6752,6205,141,19,7,116998,93.25927019,41.76256881,8095,7310,306,35,3,127827,138.4555318,64.30636075,6414,5419,73,45,8,105534,242.1596956,128.4231954,9198,7829,176,72,6,171809,244.8533789,134.0650585,11595,10098,251,57,12,219144,180.0538568,88.5220535,2701819,551600,178260,318467,304791,292782,446798,564831
291,20/12/2020,59067,52125,1338,328,337,2,2.265224237,301,53,8,0,170.0335959,82.87009604,12950,11762,305,73,14,218913,116.5699782,57.10659898,3804,3232,84,34,5,72008,189.610681,66.19544486,6781,6267,141,19,6,117917,93.25927019,44.5886073,8110,7333,306,35,3,128731,135.8307824,55.77592514,6472,5464,75,48,8,106253,250.6984719,130.4725017,9279,7889,176,78,5,173432,252.4630818,132.498355,11671,10178,251,59,12,221745,184.1258713,92.06293564,2701819,551600,178260,318467,304791,292782,446798,564831
292,21/12/2020,59353,52421,1341,268,286,3,2.259363469,306,51,5,-2,170.9218863,83.31424126,13003,11820,305,74,14,219933,119.4706309,62.90790428,3817,3273,84,34,4,72321,187.927746,63.39055312,6798,6286,141,20,6,118424,92.94526591,45.8446244,8154,7357,307,34,4,129829,143.0488433,66.27492282,6498,5508,76,49,7,106722,244.550553,111.3456428,9343,7933,177,82,6,175129,252.239267,129.3649479,11740,10244,251,61,12,223498,185.7192682,95.42677367,2701819,551600,178260,318467,304791,292782,446798,564831
293,22/12/2020,59602,52658,1346,202,249,5,2.258313479,293,48,-13,-3,167.4797609,76.83712343,13026,11859,305,78,15,220477,115.1196519,58.91950689,3829,3296,85,37,4,72601,166.0495905,51.04902951,6815,6310,143,18,4,118742,88.86321032,40.82055598,8205,7378,307,34,4,130702,148.6264358,73.82107739,6543,5548,76,50,8,107331,243.5258998,111.3456428,9398,7975,177,80,7,176863,252.6868965,115.2646162,11786,10292,253,60,9,225997,179.8768127,82.14846565,2701819,551600,178260,318467,304791,292782,446798,564831
294,23/12/2020,59944,53034,1350,299,342,4,2.252101962,286,51,-7,3,169.5524386,74.43133681,13090,11909,305,71,15,222182,118.9267585,59.46337926,3846,3333,85,33,3,73442,162.1227421,51.61000785,6841,6339,144,13,4,119586,90.74723598,41.76256881,8232,7418,307,28,4,131359,147.3140611,69.22776591,6579,5595,76,48,6,108212,242.5012467,102.8068665,9478,8031,179,81,5,178364,253.3583409,108.5501726,11878,10409,254,67,11,228944,186.958577,81.61733333,2701819,551600,178260,318467,304791,292782,446798,564831
295,24/12/2020,60395,53391,1354,394,451,4,2.241907443,265,54,-21,3,172.994564,76.02285719,13150,11971,305,72,17,224846,122.008702,62.36403191,3866,3384,85,32,2,74153,160.439807,46.56120274,6876,6360,144,13,3,120792,93.88727874,48.67066289,8277,7446,308,31,4,132051,149.9388105,67.25920385,6639,5662,76,48,8,109184,250.3569208,98.70825392,9592,8094,179,76,6,179948,264.1014508,110.7883204,11995,10474,257,65,11,231728,185.1881359,85.51230368,2701819,551600,178260,318467,304791,292782,446798,564831
296,25/12/2020,60765,53662,1354,309,370,0,2.228256398,273,55,8,1,174.1049271,75.31962726,13217,12017,305,74,18,227089,124.9093546,60.551124,3888,3403,85,30,1,74785,155.3910019,53.29294289,6904,6376,144,13,3,121740,96.71331724,47.72865006,8329,7469,308,22,4,132831,156.8287778,76.77392049,6697,5702,76,48,9,110201,248.3076145,96.65894761,9670,8170,179,70,7,182331,261.1918585,105.6405803,12060,10525,257,62,12,233697,187.3126652,82.32550975,2701819,551600,178260,318467,304791,292782,446798,564831
297,26/12/2020,61139,54065,1363,373,374,9,2.229346244,278,58,5,3,173.2906608,76.68907503,13276,12072,307,73,17,228245,127.991298,59.10079768,3900,3429,87,28,2,75272,147.5373051,53.85392124,6939,6412,144,14,4,122144,100.4813686,49.61267572,8371,7504,308,23,3,133368,154.8602157,85.63244978,6736,5755,77,54,9,110689,238.402634,90.16947763,9769,8234,182,72,7,184272,261.8633029,109.6692465,12148,10659,258,64,13,234881,186.4274447,84.45003904,2701819,551600,178260,318467,304791,292782,446798,564831
298,27/12/2020,61375,54402,1369,213,236,6,2.230549898,295,58,17,0,168.2940271,74.83846993,13312,12136,307,79,18,228586,122.7338651,56.01885424,3909,3472,87,28,3,75538,125.0981712,51.61000785,6950,6429,145,13,4,122460,97.65533007,47.72865006,8387,7538,308,23,4,133619,146.6578738,76.44582681,6782,5812,77,56,11,111195,236.3533277,97.00049866,9848,8314,184,76,7,184920,259.8489698,113.0264683,12187,10701,261,61,11,235406,183.4176949,79.13871583,2701819,551600,178260,318467,304791,292782,446798,564831
299,28/12/2020,61668,54795,1370,277,293,1,2.221573588,291,56,-4,-2,168.997257,76.46700242,13360,12197,307,83,17,229720,127.6287165,60.551124,3925,3500,87,28,4,75919,123.9762145,53.85392124,6993,6449,145,14,3,123071,107.0754584,55.89276126,8408,7574,308,26,4,134040,149.6107169,66.60301649,6819,5879,77,61,11,111937,220.9835304,94.26809025,9924,8395,184,78,7,185800,259.4013402,117.7265789,12239,10801,262,63,12,236261,183.7717831,80.20098047,2701819,551600,178260,318467,304791,292782,446798,564831
300,29/12/2020,61982,55084,1380,261,314,10,2.226452841,282,55,-9,-1,164.9259258,75.43066356,13414,12223,311,89,18,230377,129.2603336,58.7382161,3954,3527,88,31,4,76156,121.1713228,60.58566139,7009,6465,145,13,3,123460,101.7373857,52.75271849,8435,7601,308,25,4,134691,149.2826232,66.60301649,6858,5932,77,54,10,112437,218.9342241,95.29274341,9996,8474,188,79,5,186535,249.1058599,115.9360606,12316,10862,263,56,12,236973,175.9818424,77.54531887,2701819,551600,178260,318467,304791,292782,446798,564831
301,30/12/2020,62466,55460,1386,441,484,6,2.218807031,296,55,14,0,167.7758577,76.65206293,13535,12272,311,89,18,231633,140.137781,69.79695431,3969,3551,89,34,3,76468,120.6103444,57.78076966,7059,6482,145,14,2,124244,110.2155011,57.46278264,8484,7630,308,25,3,135342,151.9073726,67.9153912,6911,6016,77,52,11,113362,216.2018157,92.90188604,10117,8557,189,72,7,187694,251.5678226,117.5027641,12391,10952,267,51,11,238334,172.4409602,70.10946637,2701819,551600,178260,318467,304791,292782,446798,564831
302,31/12/2020,62978,55910,1393,438,512,7,2.211883515,290,55,-6,0,171.6251163,81.90778139,13669,12333,311,89,19,233058,156.4539521,81.94343727,3993,3589,90,36,3,76840,117.8054527,58.90272635,7108,6517,145,18,2,125028,121.5196551,64.05687245,8553,7671,308,27,3,135753,157.8130588,73.49298372,6941,6050,78,52,10,114435,201.8566715,83.3384566,10232,8674,191,76,7,188719,254.0297853,125.7839113,12482,11076,270,53,11,239822,171.7327838,74.71261315,2701819,551600,178260,318467,304791,292782,446798,564831
303,01/01/2021,63510,56338,1400,441,532,7,2.204377263,297,57,7,2,176.9178468,87.75569348,13776,12377,312,87,20,234308,161.8926759,90.64539521,4017,3618,90,37,2,77124,125.6591496,65.63446651,7155,6545,145,15,2,125659,126.5437235,67.82492378,8622,7712,309,23,2,136517,172.9053679,82.351513,6992,6126,80,51,12,115421,197.4165078,87.43706922,10335,8798,193,83,8,190051,254.4774148,126.6791705,12613,11162,271,49,9,241510,180.2309009,82.32550975,2701819,551600,178260,318467,304791,292782,446798,564831
304,02/01/2021,63954,56724,1403,412,444,3,2.193764268,311,57,14,0,180.8781417,95.45421066,13894,12434,314,92,20,235418,171.1385062,105.51124,4038,3637,90,39,2,77386,131.268933,72.36620666,7190,6568,145,16,2,126196,128.4277492,75.36102642,8653,7748,309,24,2,136922,178.1548668,87.27291816,7038,6188,81,44,12,115751,193.3178952,87.43706922,10457,8910,193,87,8,190999,263.6538212,136.3032064,12684,11239,271,52,11,242347,179.3456804,87.99092118,2701819,551600,178260,318467,304791,292782,446798,564831
305,03/01/2021,64251,57115,1409,269,297,6,2.192961977,311,57,14,0,181.2852748,95.60225907,13940,12496,314,95,18,236006,169.8694706,105.1486584,4049,3662,90,43,2,77572,130.1469763,69.56131493,7223,6593,145,18,2,126441,133.4518176,72.22098365,8683,7768,309,26,3,137290,173.5615553,90.22576126,7064,6274,83,44,9,116039,193.3178952,83.68000765,10523,8996,197,87,11,191595,264.1014508,134.0650585,12769,11326,271,55,12,243394,182.1783861,93.83337671,2701819,551600,178260,318467,304791,292782,446798,564831
306,04/01/2021,64715,57401,1414,422,464,5,2.184964846,334,54,23,-3,189.2428767,101.1540743,14058,12554,315,83,19,236832,187.0920957,116.751269,4103,3668,90,45,1,77922,153.7080669,83.58577359,7283,6629,145,17,0,127325,146.9540015,86.03717183,8770,7790,309,25,3,138003,185.3729277,109.9113819,7123,6312,83,39,8,116387,198.0996099,90.51102868,10576,9051,200,74,12,192423,263.6538212,129.8125775,12802,11397,272,51,11,244550,179.8768127,86.043436,2701819,551600,178260,318467,304791,292782,446798,564831
307,05/01/2021,65066,57660,1421,298,351,7,2.183936311,342,56,8,2,189.5759857,96.2314648,14144,12604,321,81,17,237316,191.0804931,110.4060914,4125,3685,90,50,1,78261,156.5129586,87.51262201,7328,6649,145,17,0,128312,152.9200828,84.46715044,8832,7834,310,28,2,138494,196.8562064,114.1765997,7167,6336,83,37,11,116987,200.8320184,87.43706922,10636,9102,200,80,13,193006,259.1775254,116.1598754,12834,11450,272,49,12,245275,169.2541663,78.4305394,2701819,551600,178260,318467,304791,292782,446798,564831
308,06/01/2021,65750,57925,1427,590,684,6,2.170342205,342,57,0,1,214.8922633,121.5477425,14331,12637,322,79,18,238580,224.9818709,144.3074692,4180,3700,91,46,1,78862,187.3667676,118.3664311,7391,6668,145,18,0,129326,172.7023522,104.2494199,8927,7881,312,31,1,139315,228.0251057,145.345499,7200,6377,83,44,11,117753,212.1032031,151.0749824,10792,9151,201,83,13,194985,294.0926325,151.0749824,12929,11511,273,41,13,246582,186.0733565,95.24972957,2701819,551600,178260,318467,304791,292782,446798,564831
